test_type,strategy,combination_id,cobra_pass,cobra_message,composite_score,ema_period,sma_period,rsi_period,rsi_oversold,rsi_overbought,total_trades,win_rate,profit_factor,total_return,total_profit,gross_profit,gross_loss,avg_trade,avg_winning_trade,avg_losing_trade,max_drawdown,intra_trade_max_dd,sharpe_ratio,sortino_ratio,omega_ratio,final_value,winning_trades,losing_trades,profit_factor_zone,sharpe_ratio_zone,sortino_ratio_zone,win_rate_zone,intra_trade_max_dd_zone,omega_ratio_zone,total_trades_zone
Parameter,ema_sma_rsi,1,False,"GREEN: 4/7, RED: 2/7 - RED METRICS: profit_factor, intra_trade_max_dd",2.1500000000000004,15,40,10,20,65,65,38.46153846153847,1.6657420404398786,874.5952809170817,874595.2809170816,2188310.245258535,1313714.9643414533,13455.312014108948,87532.40981034139,-32842.87410853633,83.29082246666201,83.29082246666201,2.842809270355083,20.412951318822874,2.4765518436547573,974595.2809170816,25,40,red,green,green,yellow,red,green,green
Parameter,ema_sma_rsi,2,False,"GREEN: 4/7, RED: 2/7 - RED METRICS: profit_factor, intra_trade_max_dd",2.1500000000000004,15,40,10,20,70,65,38.46153846153847,1.6657420404398786,874.5952809170817,874595.2809170816,2188310.245258535,1313714.9643414533,13455.312014108948,87532.40981034139,-32842.87410853633,83.29082246666201,83.29082246666201,2.842809270355083,20.412951318822874,2.4765518436547573,974595.2809170816,25,40,red,green,green,yellow,red,green,green
Parameter,ema_sma_rsi,3,False,"GREEN: 4/7, RED: 2/7 - RED METRICS: profit_factor, intra_trade_max_dd",2.1500000000000004,15,40,10,20,75,65,38.46153846153847,1.6657420404398786,874.5952809170817,874595.2809170816,2188310.245258535,1313714.9643414533,13455.312014108948,87532.40981034139,-32842.87410853633,83.29082246666201,83.29082246666201,2.842809270355083,20.412951318822874,2.4765518436547573,974595.2809170816,25,40,red,green,green,yellow,red,green,green
Parameter,ema_sma_rsi,4,False,"GREEN: 4/7, RED: 2/7 - RED METRICS: profit_factor, intra_trade_max_dd",2.1500000000000004,15,40,10,20,80,65,38.46153846153847,1.6657420404398786,874.5952809170817,874595.2809170816,2188310.245258535,1313714.9643414533,13455.312014108948,87532.40981034139,-32842.87410853633,83.29082246666201,83.29082246666201,2.842809270355083,20.412951318822874,2.4765518436547573,974595.2809170816,25,40,red,green,green,yellow,red,green,green
Parameter,ema_sma_rsi,5,False,"GREEN: 4/7, RED: 2/7 - RED METRICS: profit_factor, intra_trade_max_dd",2.1500000000000004,15,40,10,25,65,65,38.46153846153847,1.6657420404398786,874.5952809170817,874595.2809170816,2188310.245258535,1313714.9643414533,13455.312014108948,87532.40981034139,-32842.87410853633,83.29082246666201,83.29082246666201,2.842809270355083,20.412951318822874,2.4765518436547573,974595.2809170816,25,40,red,green,green,yellow,red,green,green
Parameter,ema_sma_rsi,6,False,"GREEN: 4/7, RED: 2/7 - RED METRICS: profit_factor, intra_trade_max_dd",2.1500000000000004,15,40,10,25,70,65,38.46153846153847,1.6657420404398786,874.5952809170817,874595.2809170816,2188310.245258535,1313714.9643414533,13455.312014108948,87532.40981034139,-32842.87410853633,83.29082246666201,83.29082246666201,2.842809270355083,20.412951318822874,2.4765518436547573,974595.2809170816,25,40,red,green,green,yellow,red,green,green
Parameter,ema_sma_rsi,7,False,"GREEN: 4/7, RED: 2/7 - RED METRICS: profit_factor, intra_trade_max_dd",2.1500000000000004,15,40,10,25,75,65,38.46153846153847,1.6657420404398786,874.5952809170817,874595.2809170816,2188310.245258535,1313714.9643414533,13455.312014108948,87532.40981034139,-32842.87410853633,83.29082246666201,83.29082246666201,2.842809270355083,20.412951318822874,2.4765518436547573,974595.2809170816,25,40,red,green,green,yellow,red,green,green
Parameter,ema_sma_rsi,8,False,"GREEN: 4/7, RED: 2/7 - RED METRICS: profit_factor, intra_trade_max_dd",2.1500000000000004,15,40,10,25,80,65,38.46153846153847,1.6657420404398786,874.5952809170817,874595.2809170816,2188310.245258535,1313714.9643414533,13455.312014108948,87532.40981034139,-32842.87410853633,83.29082246666201,83.29082246666201,2.842809270355083,20.412951318822874,2.4765518436547573,974595.2809170816,25,40,red,green,green,yellow,red,green,green
Parameter,ema_sma_rsi,9,False,"GREEN: 4/7, RED: 2/7 - RED METRICS: profit_factor, intra_trade_max_dd",2.1500000000000004,15,40,10,30,65,65,38.46153846153847,1.6657420404398786,874.5952809170817,874595.2809170816,2188310.245258535,1313714.9643414533,13455.312014108948,87532.40981034139,-32842.87410853633,83.29082246666201,83.29082246666201,2.842809270355083,20.412951318822874,2.4765518436547573,974595.2809170816,25,40,red,green,green,yellow,red,green,green
Parameter,ema_sma_rsi,10,False,"GREEN: 4/7, RED: 2/7 - RED METRICS: profit_factor, intra_trade_max_dd",2.1500000000000004,15,40,10,30,70,65,38.46153846153847,1.6657420404398786,874.5952809170817,874595.2809170816,2188310.245258535,1313714.9643414533,13455.312014108948,87532.40981034139,-32842.87410853633,83.29082246666201,83.29082246666201,2.842809270355083,20.412951318822874,2.4765518436547573,974595.2809170816,25,40,red,green,green,yellow,red,green,green
Parameter,ema_sma_rsi,11,False,"GREEN: 4/7, RED: 2/7 - RED METRICS: profit_factor, intra_trade_max_dd",2.1500000000000004,15,40,10,30,75,65,38.46153846153847,1.6657420404398786,874.5952809170817,874595.2809170816,2188310.245258535,1313714.9643414533,13455.312014108948,87532.40981034139,-32842.87410853633,83.29082246666201,83.29082246666201,2.842809270355083,20.412951318822874,2.4765518436547573,974595.2809170816,25,40,red,green,green,yellow,red,green,green
