strategy,composite_score,rsi_period,macd_fast,macd_slow,cci_period,cci_oversold,cci_overbought,total_trades,win_rate,profit_factor,total_return,total_profit,gross_profit,gross_loss,avg_trade,avg_winning_trade,avg_losing_trade,max_drawdown,intra_trade_max_dd,sharpe_ratio,sortino_ratio,omega_ratio,final_value,winning_trades,losing_trades,profit_factor_zone,sharpe_ratio_zone,sortino_ratio_zone,win_rate_zone,intra_trade_max_dd_zone,omega_ratio_zone,total_trades_zone
momentum_combo,2.9,16,12,31,22,-80,80,2,100.0,inf,3.9133403083440785,3913.340308344079,3913.340308344079,0.0,1956.6701541720395,1956.6701541720395,0.0,0.10000000000000159,0.10000000000000159,35.61954493039201,inf,inf,103913.34030834408,2,0,green,green,green,green,green,green,red
momentum_combo,2.9,16,16,26,22,-80,80,2,100.0,inf,3.9133403083440785,3913.340308344079,3913.340308344079,0.0,1956.6701541720395,1956.6701541720395,0.0,0.10000000000000159,0.10000000000000159,35.61954493039201,inf,inf,103913.34030834408,2,0,green,green,green,green,green,green,red
momentum_combo,2.9,16,16,31,22,-80,80,2,100.0,inf,3.9133403083440785,3913.340308344079,3913.340308344079,0.0,1956.6701541720395,1956.6701541720395,0.0,0.10000000000000159,0.10000000000000159,35.61954493039201,inf,inf,103913.34030834408,2,0,green,green,green,green,green,green,red
momentum_combo,2.2499999999999996,12,8,21,18,-80,100,3,66.66666666666666,2.233311999065604,3.3166444035675084,3316.6444035675086,6005.862059829917,2689.217656262408,1105.5481345225028,3002.9310299149583,-2689.217656262408,3.2374513716914364,3.2374513716914364,5.252779456739855,0.0,2.4408859751534444,103316.64440356751,2,1,yellow,green,red,green,green,green,red
momentum_combo,2.2499999999999996,12,8,21,18,-80,120,3,66.66666666666666,2.233311999065604,3.3166444035675084,3316.6444035675086,6005.862059829917,2689.217656262408,1105.5481345225028,3002.9310299149583,-2689.217656262408,3.2374513716914364,3.2374513716914364,5.252779456739855,0.0,2.4408859751534444,103316.64440356751,2,1,yellow,green,red,green,green,green,red
momentum_combo,2.2499999999999996,12,8,26,18,-80,100,3,66.66666666666666,2.233311999065604,3.3166444035675084,3316.6444035675086,6005.862059829917,2689.217656262408,1105.5481345225028,3002.9310299149583,-2689.217656262408,3.2374513716914364,3.2374513716914364,5.252779456739855,0.0,2.4408859751534444,103316.64440356751,2,1,yellow,green,red,green,green,green,red
momentum_combo,2.2499999999999996,12,8,26,18,-80,120,3,66.66666666666666,2.233311999065604,3.3166444035675084,3316.6444035675086,6005.862059829917,2689.217656262408,1105.5481345225028,3002.9310299149583,-2689.217656262408,3.2374513716914364,3.2374513716914364,5.252779456739855,0.0,2.4408859751534444,103316.64440356751,2,1,yellow,green,red,green,green,green,red
momentum_combo,2.2499999999999996,12,8,31,18,-80,100,3,66.66666666666666,2.233311999065604,3.3166444035675084,3316.6444035675086,6005.862059829917,2689.217656262408,1105.5481345225028,3002.9310299149583,-2689.217656262408,3.2374513716914364,3.2374513716914364,5.252779456739855,0.0,2.4408859751534444,103316.64440356751,2,1,yellow,green,red,green,green,green,red
momentum_combo,2.2499999999999996,12,8,31,18,-80,120,3,66.66666666666666,2.233311999065604,3.3166444035675084,3316.6444035675086,6005.862059829917,2689.217656262408,1105.5481345225028,3002.9310299149583,-2689.217656262408,3.2374513716914364,3.2374513716914364,5.252779456739855,0.0,2.4408859751534444,103316.64440356751,2,1,yellow,green,red,green,green,green,red
momentum_combo,2.2499999999999996,14,8,21,18,-80,100,3,66.66666666666666,2.233311999065604,3.3166444035675084,3316.6444035675086,6005.862059829917,2689.217656262408,1105.5481345225028,3002.9310299149583,-2689.217656262408,3.2374513716914364,3.2374513716914364,5.252779456739855,0.0,2.4408859751534444,103316.64440356751,2,1,yellow,green,red,green,green,green,red
momentum_combo,2.2499999999999996,14,8,21,18,-80,120,3,66.66666666666666,2.233311999065604,3.3166444035675084,3316.6444035675086,6005.862059829917,2689.217656262408,1105.5481345225028,3002.9310299149583,-2689.217656262408,3.2374513716914364,3.2374513716914364,5.252779456739855,0.0,2.4408859751534444,103316.64440356751,2,1,yellow,green,red,green,green,green,red
momentum_combo,2.2499999999999996,14,8,26,18,-80,100,3,66.66666666666666,2.233311999065604,3.3166444035675084,3316.6444035675086,6005.862059829917,2689.217656262408,1105.5481345225028,3002.9310299149583,-2689.217656262408,3.2374513716914364,3.2374513716914364,5.252779456739855,0.0,2.4408859751534444,103316.64440356751,2,1,yellow,green,red,green,green,green,red
momentum_combo,2.2499999999999996,14,8,26,18,-80,120,3,66.66666666666666,2.233311999065604,3.3166444035675084,3316.6444035675086,6005.862059829917,2689.217656262408,1105.5481345225028,3002.9310299149583,-2689.217656262408,3.2374513716914364,3.2374513716914364,5.252779456739855,0.0,2.4408859751534444,103316.64440356751,2,1,yellow,green,red,green,green,green,red
momentum_combo,2.2499999999999996,14,8,31,18,-80,100,3,66.66666666666666,2.233311999065604,3.3166444035675084,3316.6444035675086,6005.862059829917,2689.217656262408,1105.5481345225028,3002.9310299149583,-2689.217656262408,3.2374513716914364,3.2374513716914364,5.252779456739855,0.0,2.4408859751534444,103316.64440356751,2,1,yellow,green,red,green,green,green,red
momentum_combo,2.2499999999999996,14,8,31,18,-80,120,3,66.66666666666666,2.233311999065604,3.3166444035675084,3316.6444035675086,6005.862059829917,2689.217656262408,1105.5481345225028,3002.9310299149583,-2689.217656262408,3.2374513716914364,3.2374513716914364,5.252779456739855,0.0,2.4408859751534444,103316.64440356751,2,1,yellow,green,red,green,green,green,red
momentum_combo,2.0999999999999996,12,8,21,18,-100,80,1,100.0,inf,1.2975375183129945,1297.5375183129945,1297.5375183129945,0.0,1297.5375183129945,1297.5375183129945,0.0,0.09999999999999346,0.09999999999999346,0.0,0.0,inf,101297.537518313,1,0,green,red,red,green,green,green,red
momentum_combo,2.0999999999999996,12,8,21,18,-100,100,1,100.0,inf,1.2975375183129945,1297.5375183129945,1297.5375183129945,0.0,1297.5375183129945,1297.5375183129945,0.0,0.09999999999999346,0.09999999999999346,0.0,0.0,inf,101297.537518313,1,0,green,red,red,green,green,green,red
momentum_combo,2.0999999999999996,12,8,21,18,-100,120,1,100.0,inf,1.2975375183129945,1297.5375183129945,1297.5375183129945,0.0,1297.5375183129945,1297.5375183129945,0.0,0.09999999999999346,0.09999999999999346,0.0,0.0,inf,101297.537518313,1,0,green,red,red,green,green,green,red
momentum_combo,2.0999999999999996,12,8,21,20,-100,80,1,100.0,inf,1.2975375183129945,1297.5375183129945,1297.5375183129945,0.0,1297.5375183129945,1297.5375183129945,0.0,0.09999999999999346,0.09999999999999346,0.0,0.0,inf,101297.537518313,1,0,green,red,red,green,green,green,red
momentum_combo,2.0999999999999996,12,8,21,20,-100,100,1,100.0,inf,1.2975375183129945,1297.5375183129945,1297.5375183129945,0.0,1297.5375183129945,1297.5375183129945,0.0,0.09999999999999346,0.09999999999999346,0.0,0.0,inf,101297.537518313,1,0,green,red,red,green,green,green,red
momentum_combo,2.0999999999999996,12,8,21,20,-100,120,1,100.0,inf,1.2975375183129945,1297.5375183129945,1297.5375183129945,0.0,1297.5375183129945,1297.5375183129945,0.0,0.09999999999999346,0.09999999999999346,0.0,0.0,inf,101297.537518313,1,0,green,red,red,green,green,green,red
momentum_combo,2.0999999999999996,12,8,26,18,-100,80,1,100.0,inf,1.2975375183129945,1297.5375183129945,1297.5375183129945,0.0,1297.5375183129945,1297.5375183129945,0.0,0.09999999999999346,0.09999999999999346,0.0,0.0,inf,101297.537518313,1,0,green,red,red,green,green,green,red
