ema_period,sma_period,rsi_period,composite_score,total_trades,win_rate,profit_factor,total_return,total_profit,gross_profit,gross_loss,avg_trade,avg_winning_trade,avg_losing_trade,max_drawdown,intra_trade_max_dd,sharpe_ratio,sortino_ratio,omega_ratio,final_value,winning_trades,losing_trades,profit_factor_zone,sharpe_ratio_zone,sortino_ratio_zone,win_rate_zone,intra_trade_max_dd_zone,omega_ratio_zone,total_trades_zone
10,30,10,1.35,2,50.0,0.42668199743822954,-4.244928243745875,-4244.928243745875,3159.214352122668,7404.142595868543,-2122.4641218729375,3159.214352122668,-7404.142595868543,7.377073336486184,7.377073336486184,-4.151309849832524,0.0,0.4600372382490073,95755.07175625412,1,1,red,red,red,yellow,green,red,red
10,40,10,1.35,4,50.0,0.4844156420920497,-7.153653904198029,-7153.653904198029,6721.192751788389,13874.846655986417,-1788.4134760495072,3360.5963758941944,-6937.423327993209,7.543437672592554,7.543437672592554,-4.182451408847049,-75.84975286456941,0.53245681623216,92846.34609580197,2,2,red,red,red,yellow,green,red,red
15,50,10,1.35,9,44.44444444444444,0.6674637835381236,-6.851888447116289,-6851.888447116289,13753.0505277091,20604.93897482539,-761.3209385684765,3438.262631927275,-4120.987794965078,13.696699844753327,13.696699844753327,-1.5977990761446716,-3.177153066296019,0.7610431092329821,93148.11155288371,4,5,red,red,red,yellow,green,red,red
20,60,10,1.35,13,46.15384615384615,0.661173165200554,-11.162020996568389,-11162.02099656839,21781.1223739243,32943.14337049269,-858.61699973603,3630.1870623207164,-4706.1633386418125,17.45906796274156,17.45906796274156,-1.937942540752524,-4.204646713726424,0.7392086376919713,88837.97900343161,6,7,red,red,red,yellow,green,red,red
25,40,10,1.35,8,50.0,0.9157133515770393,-1.5021735528826539,-1502.173552882654,16320.027008997116,17822.20056187977,-187.77169411033174,4080.006752249279,-4455.550140469943,14.27282503846175,14.27282503846175,0.1602503660303657,0.36363509619893836,1.0262196894092444,98497.82644711735,4,4,red,red,red,yellow,green,red,red
25,50,10,1.35,12,41.66666666666667,0.4775066680356362,-15.307372697163302,-15307.3726971633,13989.4082581338,29296.7809552971,-1275.614391430275,2797.8816516267602,-4185.2544221853,19.26020103799198,19.26020103799198,-3.773428176164718,-5.825447314978685,0.5526453527635327,84692.6273028367,5,7,red,red,red,yellow,green,red,red
25,60,10,1.25,13,46.15384615384615,0.48047548255719735,-20.62125692821725,-20621.256928217248,19071.300854654968,39692.557782872216,-1586.2505329397884,3178.5501424424947,-5670.365397553173,28.9540393565588,28.9540393565588,-3.8824636560632038,-14.286961737622967,0.5625055533059009,79378.74307178275,6,7,red,red,red,yellow,yellow,red,red
5,60,10,1.2000000000000002,4,25.0,0.33212374478728834,-5.582352640176571,-5582.35264017657,2776.011048615823,8358.363688792393,-1395.5881600441426,2776.011048615823,-2786.121229597464,8.643774000134421,8.643774000134421,-4.9875091700185505,-5.960690859805636,0.38332254681867134,94417.64735982343,1,3,red,red,red,red,green,red,red
10,50,10,1.2000000000000002,6,33.33333333333333,0.17950981039742023,-13.74873266452113,-13748.732664521129,3007.9974448060675,16756.730109327196,-2291.4554440868546,1503.9987224030338,-4189.182527331799,14.302973079941511,14.302973079941511,-8.04938006090615,-8.833962426942437,0.20728595139636966,86251.26733547887,2,4,red,red,red,red,green,red,red
15,60,10,1.2000000000000002,11,27.27272727272727,0.5165136372079536,-11.994652393524854,-11994.652393524855,12814.015061453407,24808.667454978262,-1090.422944865896,4271.338353817802,-3101.0834318722827,15.44563799504623,15.44563799504623,-3.0990126749495785,-5.510512502648162,0.5807002370866853,88005.34760647514,3,8,red,red,red,red,green,red,red
15,60,14,1.2000000000000002,1,0.0,0.0,-0.9613928043682098,-961.3928043682099,0.0,961.3928043682099,-961.3928043682099,0.0,-961.3928043682099,1.06139280436821,1.06139280436821,0.0,0.0,0.0,99038.60719563179,0,1,red,red,red,red,green,red,red
25,30,22,1.2000000000000002,1,0.0,0.0,-1.3451970702849794,-1345.1970702849794,0.0,1345.1970702849794,-1345.1970702849794,0.0,-1345.1970702849794,1.4451970702849795,1.4451970702849795,0.0,0.0,0.0,98654.80292971502,0,1,red,red,red,red,green,red,red
